horizon_weeks,feature,best_lag_weeks,best_corr_abs
1,ws_одышка_diff_1w,8,0.05324970787925012
1,ws_сухой_кашель_diff_2w,6,0.05235364580919198
1,ws_температура_38_diff_2w,1,0.05228822751691736
1,ws_total_spike_flags,1,0.05149206124321309
1,ws_ломота_diff_1w,3,0.050580761074184105
1,ws_боль_в_горле_diff_1w,1,0.04961802913540309
1,ws_сухой_кашель_diff_1w,6,0.04778277324691923
1,ws_нет_запахов_diff_2w,8,0.04652078886295371
1,ws_температура_38_diff_1w,2,0.04600961760460079
1,ws_пцр_тест_diff_2w,2,0.044251627673258305
1,ws_group_specific_symptoms_diff_1w,3,0.04278953020659571
1,ws_group_general_symptoms_diff_2w,1,0.04178866240972628
1,ws_group_general_symptoms_diff_1w,1,0.041661658176055445
1,ws_covid_diff_1w,3,0.03943441604166124
1,ws_сатурация_diff_1w,3,0.0393399638302533
1,ws_потеря_вкуса_diff_1w,4,0.0361254412421464
1,ws_кт_легких_diff_2w,1,0.0353640172268682
1,ws_температура_39_diff_2w,1,0.03366886539682616
1,ws_температура_39_diff_1w,2,0.0320929792400217
1,ws_нет_запахов_diff_1w,8,0.028656079083694625
1,ws_пцр_тест_diff_1w,2,0.027048590791147475
1,ws_кт_легких_diff_1w,1,0.026994980041306023
1,ws_group_complications_treatment_diff_1w,1,0.024122190617473224
1,ws_group_complications_treatment_diff_2w,1,0.023317213959437366
1,ws_пневмония_diff_2w,5,0.022926646627778966
1,ws_пневмония_diff_1w,1,0.02169795544485958
1,ws_total_spike_flags_diff_2w,7,0.016834110651763847
1,ws_total_spike_flags_diff_1w,7,0.009977741958972157
1,ws_covid_growth_1w,1,
1,ws_covid_growth_2w,1,
1,ws_group_complications_treatment_growth_1w,1,
1,ws_group_complications_treatment_growth_2w,1,
1,ws_group_disease_growth_1w,1,
1,ws_group_disease_growth_2w,1,
1,ws_group_general_symptoms_growth_1w,1,
1,ws_group_general_symptoms_growth_2w,1,
1,ws_group_specific_symptoms_growth_1w,1,
1,ws_group_specific_symptoms_growth_2w,1,
1,ws_group_testing_growth_1w,1,
1,ws_group_testing_growth_2w,1,
1,ws_group_total_growth_1w,1,
1,ws_group_total_growth_2w,1,
1,ws_total_denoised_growth_1w,1,
1,ws_total_denoised_growth_2w,1,
1,ws_total_denoised_roll_mean_4_growth_1w,1,
1,ws_total_denoised_roll_mean_4_growth_2w,1,
1,ws_total_denoised_roll_mean_8_growth_1w,1,
1,ws_total_denoised_roll_mean_8_growth_2w,1,
1,ws_total_raw_growth_1w,1,
1,ws_total_raw_growth_2w,1,
1,ws_total_spike_flags_growth_1w,1,
1,ws_total_spike_flags_growth_2w,1,
1,ws_боль_в_горле_growth_1w,1,
1,ws_боль_в_горле_growth_2w,1,
1,ws_ковид_growth_1w,1,
1,ws_ковид_growth_2w,1,
1,ws_коронавирус_growth_1w,1,
1,ws_коронавирус_growth_2w,1,
1,ws_кт_легких_growth_1w,1,
1,ws_кт_легких_growth_2w,1,
1,ws_ломота_growth_1w,1,
1,ws_ломота_growth_2w,1,
1,ws_нет_запахов_growth_1w,1,
1,ws_нет_запахов_growth_2w,1,
1,ws_одышка_growth_1w,1,
1,ws_одышка_growth_2w,1,
1,ws_пневмония_growth_1w,1,
1,ws_пневмония_growth_2w,1,
1,ws_положительный_тест_ковид_growth_1w,1,
1,ws_положительный_тест_ковид_growth_2w,1,
1,ws_потеря_вкуса_growth_1w,1,
1,ws_потеря_вкуса_growth_2w,1,
1,ws_пропало_обоняние_growth_1w,1,
1,ws_пропало_обоняние_growth_2w,1,
1,ws_пцр_тест_growth_1w,1,
1,ws_пцр_тест_growth_2w,1,
1,ws_сатурация_growth_1w,1,
1,ws_сатурация_growth_2w,1,
1,ws_симптомы_ковида_growth_1w,1,
1,ws_симптомы_ковида_growth_2w,1,
1,ws_сухой_кашель_growth_1w,1,
1,ws_сухой_кашель_growth_2w,1,
1,ws_температура_38_growth_1w,1,
1,ws_температура_38_growth_2w,1,
1,ws_температура_39_growth_1w,1,
1,ws_температура_39_growth_2w,1,
1,ws_тест_на_ковид_growth_1w,1,
1,ws_тест_на_ковид_growth_2w,1,
1,ws_чем_лечить_ковид_growth_1w,1,
1,ws_чем_лечить_ковид_growth_2w,1,
1,ws_экспресс_тест_ковид_growth_1w,1,
1,ws_экспресс_тест_ковид_growth_2w,1,
2,ws_share_одышка,1,0.49046232806599116
2,ws_одышка_roll_mean_4,1,0.4744787029876181
2,ws_одышка,2,0.4697139524472755
2,ws_одышка_lag_1,1,0.4697139524472755
2,ws_одышка_lag_2,1,0.4677351061374064
2,ws_одышка_roll_mean_8,1,0.46670373697644413
2,ws_share_нет_запахов,3,0.46074220622971757
2,ws_нет_запахов_roll_mean_8,1,0.45467606200092126
