week_start,target_week_start,horizon_weeks,y_true,naive_pred,hybrid_pred,advanced_pred,advanced_model_name
2024-10-07,2024-10-28,3,4249.0,5079.0,4157.424677792477,5218.155589889698,advanced_ratio_catboost
2024-10-14,2024-11-04,3,4088.0,4131.0,3860.12351377863,4272.791629347774,advanced_ratio_catboost
2024-10-21,2024-11-11,3,3805.0,3788.0,4493.394649760733,5244.55711182663,advanced_ratio_catboost
2024-10-28,2024-11-18,3,4316.0,4249.0,5142.558534932625,4586.562756367179,advanced_ratio_catboost
2024-11-04,2024-11-25,3,4959.0,4088.0,4845.955784425134,4579.563203576085,advanced_ratio_catboost
2024-11-11,2024-12-02,3,4809.0,3805.0,4375.048872771302,5322.375663161849,advanced_ratio_catboost
2024-11-18,2024-12-09,3,5208.0,4316.0,5211.604403519388,3435.6876676103343,advanced_ratio_catboost
2024-11-25,2024-12-16,3,4930.0,4959.0,6271.091481717464,4854.488071762732,advanced_ratio_catboost
2024-12-02,2024-12-23,3,3958.0,4809.0,5563.721176127765,3966.529319223304,advanced_ratio_catboost
2024-12-09,2024-12-30,3,2994.0,5208.0,5080.678708465373,4194.2247936438125,advanced_ratio_catboost
2024-12-16,2025-01-06,3,1362.0,4930.0,4394.573756878604,3717.409219665223,advanced_ratio_catboost
2024-12-23,2025-01-13,3,1494.0,3958.0,2445.947945615944,1801.3477767554934,advanced_ratio_catboost
2024-12-30,2025-01-20,3,1280.0,2994.0,2184.412930878126,1440.377732188727,advanced_ratio_catboost
2025-01-06,2025-01-27,3,1241.0,1362.0,2140.9871350100643,911.6488331976036,advanced_ratio_catboost
2025-01-13,2025-02-03,3,1212.0,1494.0,1844.1207286166443,1557.2645061721064,advanced_ratio_catboost
2025-01-20,2025-02-10,3,1036.0,1280.0,2108.124851913704,1474.295734613449,advanced_ratio_catboost
2025-01-27,2025-02-17,3,939.0,1241.0,1689.0869145038253,1167.12021152349,advanced_ratio_catboost
2025-02-03,2025-02-24,3,996.0,1212.0,1540.7467403196497,876.0349214934884,advanced_ratio_catboost
2025-02-10,2025-03-03,3,903.0,1036.0,1362.306756002949,750.8502986284532,advanced_ratio_catboost
2025-02-17,2025-03-10,3,864.0,939.0,1221.7317367036796,665.0458280951927,advanced_ratio_catboost
2025-02-24,2025-03-17,3,725.0,996.0,1237.4954529153874,751.2796514766407,advanced_ratio_catboost
